#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Channel ID,channel_name,total_subscribers,total_views,total_videos
67,WorkpointOfficial @UC3ZkCd7XtUREnjjt3cyY_gg,38.1M,-,Thailand,,11.4M,UC3ZkCd7XtUREnjjt3cyY_gg,WorkpointOfficial ,40800000,38265341364,82658
68,XXXTENTACION @UCM9r1xn6s30OnlJWb-jc3Sw,37.8M,0.1%,United States,,11.3M,UCM9r1xn6s30OnlJWb-jc3Sw,XXXTENTACION ,40200000,10962568846,135
69,Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37.3M,-,Canada,Travel,11.2M,UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs ,41700000,50463103786,787
70,Shakira @UCYLNGLIzMhRTi6ZOLjAPSmw,37.1M,-,,,11.1M,UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira ,46100000,30046527865,358
71,GR6 EXPLODE @UCNUQK9mQoqi4yNXw2_Rj6SA,37.1M,-,,,11.1M,UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE ,40700000,27951836355,3338
72,Daddy Yankee @UC9TO_oo4c_LrOiKNaY6aysA,37M,-,United States,Music,11.1M,UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee ,38900000,24371574205,557
73,shfa @UCwHE1kM1CPJd_pI9FQ0-4dg,36.1M,0.1%,United Arab Emirates,,10.8M,UCwHE1kM1CPJd_pI9FQ0-4dg,shfa ,42600000,24746131074,1110
74,ช่อง one31 @UC8f7MkX4MFOOJ2SerXLInCA,35.9M,-,Thailand,,10.8M,UC8f7MkX4MFOOJ2SerXLInCA,ช่อง one31 ,40100000,28001612078,141663
75,shfa2 - شفا @UCQ7x25F6YXY9DvGeHFxLhRQ,35.6M,-,United Arab Emirates,,10.7M,UCQ7x25F6YXY9DvGeHFxLhRQ,shfa2 - شفا ,44100000,27275937598,1750
76,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35.6M,-,India,,10.7M,UCtW7qWjpCZ8zps-Cf2NF26w,Goldmines Gaane Sune Ansune ,41900000,18766374760,3753
